name,filename,nworkers,avg,var
bin/threads,videos/test_big.mp4,1,56878821,567918
bin/threads,videos/test_big.mp4,2,57575967,682361
bin/threads,videos/test_big.mp4,3,29476920,336644
bin/threads,videos/test_big.mp4,4,21429395,2013560
bin/threads,videos/test_big.mp4,5,16920769,1038992
bin/threads,videos/test_big.mp4,6,13882464,1454698
bin/threads,videos/test_big.mp4,7,11371578,320254
bin/threads,videos/test_big.mp4,8,10025796,373048
bin/threads,videos/test_big.mp4,9,9516165,646547
bin/threads,videos/test_big.mp4,10,8387870,350445
bin/threads,videos/test_big.mp4,11,7830255,147213
bin/threads,videos/test_big.mp4,12,7447836,366804
bin/threads,videos/test_big.mp4,13,6697315,290916
bin/threads,videos/test_big.mp4,14,6175299,21024
bin/threads,videos/test_big.mp4,15,6332468,132001
bin/threads,videos/test_big.mp4,16,6109859,123507
bin/threads,videos/test_big.mp4,17,6205283,203349
bin/threads,videos/test_big.mp4,18,6262619,165597
bin/threads,videos/test_big.mp4,19,6298053,169930
bin/threads,videos/test_big.mp4,20,6276070,193709
bin/threads,videos/test_big.mp4,21,6368815,70484
bin/threads,videos/test_big.mp4,22,6267700,143696
bin/threads,videos/test_big.mp4,23,6249884,96832
bin/threads,videos/test_big.mp4,24,6326991,131951
bin/threads,videos/test_big.mp4,25,6303758,123402
bin/threads,videos/test_big.mp4,26,6182372,143874
bin/threads,videos/test_big.mp4,27,6360187,156071
bin/threads,videos/test_big.mp4,28,6317490,113035
bin/threads,videos/test_big.mp4,29,6390186,50589
bin/threads,videos/test_big.mp4,30,6242493,127767
bin/threads,videos/test_big.mp4,31,6298499,78665
bin/threads,videos/test_big.mp4,32,6395161,61342
bin/threads,videos/test_big.mp4,33,6471499,84749
bin/threads,videos/test_big.mp4,34,6443830,157031
bin/threads,videos/test_big.mp4,35,6453990,159371
bin/threads,videos/test_big.mp4,36,6251355,102082
bin/threads,videos/test_big.mp4,37,6367075,97671
bin/threads,videos/test_big.mp4,38,6351051,75606
bin/threads,videos/test_big.mp4,39,6291436,152352
bin/threads,videos/test_big.mp4,40,6352316,129337
bin/threads,videos/test_big.mp4,41,6342215,151369
bin/threads,videos/test_big.mp4,42,6444419,65692
bin/threads,videos/test_big.mp4,43,6349798,128226
bin/threads,videos/test_big.mp4,44,6363337,142736
bin/threads,videos/test_big.mp4,45,6426973,63777
bin/threads,videos/test_big.mp4,46,6401199,79863
bin/threads,videos/test_big.mp4,47,6393565,87530
bin/threads,videos/test_big.mp4,48,6424349,23320
bin/threads,videos/test_big.mp4,49,6338313,71726
bin/threads,videos/test_big.mp4,50,6388829,103906
bin/threads,videos/test_big.mp4,51,6381952,33656
bin/threads,videos/test_big.mp4,52,6458747,102647
bin/threads,videos/test_big.mp4,53,6633594,76000
bin/threads,videos/test_big.mp4,54,6730133,112333
bin/threads,videos/test_big.mp4,55,6682098,165506
bin/threads,videos/test_big.mp4,56,7092852,226715
bin/threads,videos/test_big.mp4,57,7122436,81581
bin/threads,videos/test_big.mp4,58,7043023,119110
bin/threads,videos/test_big.mp4,59,7248787,163108
bin/threads,videos/test_big.mp4,60,7179602,64546
bin/threads,videos/test_big.mp4,61,7120608,167007
bin/threads,videos/test_big.mp4,62,7223783,78485
bin/threads,videos/test_big.mp4,63,7169579,48688
bin/threads,videos/test_big.mp4,64,6990684,185606
bin/threads,videos/test_big.mp4,65,7101810,122962
bin/threads,videos/test_big.mp4,66,7185861,67499
bin/threads,videos/test_big.mp4,67,7271510,62173
bin/threads,videos/test_big.mp4,68,7184988,195539
bin/threads,videos/test_big.mp4,69,7138010,186431
bin/threads,videos/test_big.mp4,70,6927618,274832
bin/threads,videos/test_big.mp4,71,7176477,111648
bin/threads,videos/test_big.mp4,72,7214472,188385
bin/threads,videos/test_big.mp4,73,7213526,122010
bin/threads,videos/test_big.mp4,74,7073141,222527
bin/threads,videos/test_big.mp4,75,7192516,445614
bin/threads,videos/test_mid.mp4,1,8082110,43415
bin/threads,videos/test_mid.mp4,2,8018258,40572
bin/threads,videos/test_mid.mp4,3,5817192,1372912
bin/threads,videos/test_mid.mp4,4,3440809,373113
bin/threads,videos/test_mid.mp4,5,2387782,141327
bin/threads,videos/test_mid.mp4,6,1976925,89948
bin/threads,videos/test_mid.mp4,7,1778645,40489
bin/threads,videos/test_mid.mp4,8,1645599,74286
bin/threads,videos/test_mid.mp4,9,1425788,52724
bin/threads,videos/test_mid.mp4,10,1302385,53787
bin/threads,videos/test_mid.mp4,11,1255873,19016
bin/threads,videos/test_mid.mp4,12,1171972,39651
bin/threads,videos/test_mid.mp4,13,1169765,9320
bin/threads,videos/test_mid.mp4,14,1177699,30867
bin/threads,videos/test_mid.mp4,15,1116955,28716
bin/threads,videos/test_mid.mp4,16,1166217,42515
bin/threads,videos/test_mid.mp4,17,1150475,30401
bin/threads,videos/test_mid.mp4,18,1184611,38050
bin/threads,videos/test_mid.mp4,19,1145095,12732
bin/threads,videos/test_mid.mp4,20,1157956,29436
bin/threads,videos/test_mid.mp4,21,1162609,9432
bin/threads,videos/test_mid.mp4,22,1176409,33844
bin/threads,videos/test_mid.mp4,23,1186924,41112
bin/threads,videos/test_mid.mp4,24,1183914,21460
bin/threads,videos/test_mid.mp4,25,1135396,60759
bin/threads,videos/test_mid.mp4,26,1188035,26825
bin/threads,videos/test_mid.mp4,27,1172559,26956
bin/threads,videos/test_mid.mp4,28,1146423,38337
bin/threads,videos/test_mid.mp4,29,1150175,26171
bin/threads,videos/test_mid.mp4,30,1143520,64061
bin/threads,videos/test_mid.mp4,31,1154497,12373
bin/threads,videos/test_mid.mp4,32,1207496,23851
bin/threads,videos/test_mid.mp4,33,1218558,42375
bin/threads,videos/test_mid.mp4,34,1166798,38370
bin/threads,videos/test_mid.mp4,35,1176601,37250
bin/threads,videos/test_mid.mp4,36,1211381,38369
bin/threads,videos/test_mid.mp4,37,1187931,39406
bin/threads,videos/test_mid.mp4,38,1186023,52504
bin/threads,videos/test_mid.mp4,39,1217072,37901
bin/threads,videos/test_mid.mp4,40,1221475,41495
bin/threads,videos/test_mid.mp4,41,1232953,45649
bin/threads,videos/test_mid.mp4,42,1240811,13190
bin/threads,videos/test_mid.mp4,43,1245627,23133
bin/threads,videos/test_mid.mp4,44,1236325,26864
bin/threads,videos/test_mid.mp4,45,1228498,24690
bin/threads,videos/test_mid.mp4,46,1213717,39742
bin/threads,videos/test_mid.mp4,47,1255979,16890
bin/threads,videos/test_mid.mp4,48,1265535,20880
bin/threads,videos/test_mid.mp4,49,1262996,45896
bin/threads,videos/test_mid.mp4,50,1244633,30981
bin/threads,videos/test_mid.mp4,51,1293416,14827
bin/threads,videos/test_mid.mp4,52,1248909,38068
bin/threads,videos/test_mid.mp4,53,1265789,29288
bin/threads,videos/test_mid.mp4,54,1305769,38258
bin/threads,videos/test_mid.mp4,55,1277834,28558
bin/threads,videos/test_mid.mp4,56,1292698,24255
bin/threads,videos/test_mid.mp4,57,1262681,31019
bin/threads,videos/test_mid.mp4,58,1310643,24092
bin/threads,videos/test_mid.mp4,59,1290350,27325
bin/threads,videos/test_mid.mp4,60,1317588,33700
bin/threads,videos/test_mid.mp4,61,1332830,13397
bin/threads,videos/test_mid.mp4,62,1321562,11651
bin/threads,videos/test_mid.mp4,63,1307502,27901
bin/threads,videos/test_mid.mp4,64,1310126,29559
bin/threads,videos/test_mid.mp4,65,1315278,52172
bin/threads,videos/test_mid.mp4,66,1318535,31399
bin/threads,videos/test_mid.mp4,67,1334613,52021
bin/threads,videos/test_mid.mp4,68,1313979,13312
bin/threads,videos/test_mid.mp4,69,1290527,50439
bin/threads,videos/test_mid.mp4,70,1297733,50774
bin/threads,videos/test_mid.mp4,71,1345998,13702
bin/threads,videos/test_mid.mp4,72,1321841,26290
bin/threads,videos/test_mid.mp4,73,1343081,16038
bin/threads,videos/test_mid.mp4,74,1331337,25379
bin/threads,videos/test_mid.mp4,75,1330649,29433
bin/threads,videos/test_small.mp4,1,1907193,10856
bin/threads,videos/test_small.mp4,2,1918649,11454
bin/threads,videos/test_small.mp4,3,1179486,283926
bin/threads,videos/test_small.mp4,4,712013,25791
bin/threads,videos/test_small.mp4,5,592193,33125
bin/threads,videos/test_small.mp4,6,496882,9779
bin/threads,videos/test_small.mp4,7,461582,13530
bin/threads,videos/test_small.mp4,8,388262,4650
bin/threads,videos/test_small.mp4,9,377505,17246
bin/threads,videos/test_small.mp4,10,340156,11516
bin/threads,videos/test_small.mp4,11,326058,6270
bin/threads,videos/test_small.mp4,12,325357,11115
bin/threads,videos/test_small.mp4,13,334473,17305
bin/threads,videos/test_small.mp4,14,330230,5232
bin/threads,videos/test_small.mp4,15,342753,2481
bin/threads,videos/test_small.mp4,16,341838,8667
bin/threads,videos/test_small.mp4,17,336202,4771
bin/threads,videos/test_small.mp4,18,342887,7360
bin/threads,videos/test_small.mp4,19,341652,14681
bin/threads,videos/test_small.mp4,20,350143,16822
bin/threads,videos/test_small.mp4,21,343900,13449
bin/threads,videos/test_small.mp4,22,339600,7187
bin/threads,videos/test_small.mp4,23,334141,5570
bin/threads,videos/test_small.mp4,24,334135,5241
bin/threads,videos/test_small.mp4,25,348099,5476
bin/threads,videos/test_small.mp4,26,356041,8150
bin/threads,videos/test_small.mp4,27,354345,12431
bin/threads,videos/test_small.mp4,28,366954,13753
bin/threads,videos/test_small.mp4,29,352375,10717
bin/threads,videos/test_small.mp4,30,363320,12783
bin/threads,videos/test_small.mp4,31,355263,3789
bin/threads,videos/test_small.mp4,32,356969,13143
bin/threads,videos/test_small.mp4,33,357060,6549
bin/threads,videos/test_small.mp4,34,351542,11324
bin/threads,videos/test_small.mp4,35,365030,10072
bin/threads,videos/test_small.mp4,36,368588,12369
bin/threads,videos/test_small.mp4,37,367057,5844
bin/threads,videos/test_small.mp4,38,389800,15452
bin/threads,videos/test_small.mp4,39,382450,12304
bin/threads,videos/test_small.mp4,40,380554,9101
bin/threads,videos/test_small.mp4,41,388312,11154
bin/threads,videos/test_small.mp4,42,396232,4796
bin/threads,videos/test_small.mp4,43,396718,19555
bin/threads,videos/test_small.mp4,44,392716,14357
bin/threads,videos/test_small.mp4,45,393368,12712
bin/threads,videos/test_small.mp4,46,389703,14199
bin/threads,videos/test_small.mp4,47,406662,6047
bin/threads,videos/test_small.mp4,48,411122,18900
bin/threads,videos/test_small.mp4,49,415809,10113
bin/threads,videos/test_small.mp4,50,406334,18014
bin/threads,videos/test_small.mp4,51,413979,13940
bin/threads,videos/test_small.mp4,52,408088,8049
bin/threads,videos/test_small.mp4,53,417328,19941
bin/threads,videos/test_small.mp4,54,422820,9946
bin/threads,videos/test_small.mp4,55,388423,19456
bin/threads,videos/test_small.mp4,56,362409,14092
bin/threads,videos/test_small.mp4,57,368191,11358
bin/threads,videos/test_small.mp4,58,351613,17420
bin/threads,videos/test_small.mp4,59,366882,9559
bin/threads,videos/test_small.mp4,60,380713,9614
bin/threads,videos/test_small.mp4,61,366044,10875
bin/threads,videos/test_small.mp4,62,373793,17174
bin/threads,videos/test_small.mp4,63,379780,11775
bin/threads,videos/test_small.mp4,64,388356,3887
bin/threads,videos/test_small.mp4,65,384990,15107
bin/threads,videos/test_small.mp4,66,385027,17279
bin/threads,videos/test_small.mp4,67,391318,30352
bin/threads,videos/test_small.mp4,68,389462,16358
bin/threads,videos/test_small.mp4,69,390987,13976
bin/threads,videos/test_small.mp4,70,389178,10837
bin/threads,videos/test_small.mp4,71,388540,5972
bin/threads,videos/test_small.mp4,72,374412,13295
bin/threads,videos/test_small.mp4,73,395986,14258
bin/threads,videos/test_small.mp4,74,396220,7604
bin/threads,videos/test_small.mp4,75,403795,18924
