name,filename,nworkers,avg,var
bin/omp,videos/test_small.mp4,1,5228647,247198
bin/omp,videos/test_small.mp4,2,5013930,147410
bin/omp,videos/test_small.mp4,3,2605715,230771
bin/omp,videos/test_small.mp4,4,1865194,161250
bin/omp,videos/test_small.mp4,5,1494428,196915
bin/omp,videos/test_small.mp4,6,1313586,36760
bin/omp,videos/test_small.mp4,7,972669,150822
bin/omp,videos/test_small.mp4,8,982925,34495
bin/omp,videos/test_small.mp4,9,730367,186257
bin/omp,videos/test_small.mp4,10,815479,36461
bin/omp,videos/test_small.mp4,11,700476,162453
bin/omp,videos/test_small.mp4,12,712906,40899
bin/omp,videos/test_small.mp4,13,731823,79814
bin/omp,videos/test_small.mp4,14,636021,120478
bin/omp,videos/test_small.mp4,15,751029,26198
bin/omp,videos/test_small.mp4,16,842601,19299
bin/omp,videos/test_small.mp4,17,542317,147581
bin/omp,videos/test_small.mp4,18,758325,49266
bin/omp,videos/test_small.mp4,19,606177,148533
bin/omp,videos/test_small.mp4,20,722201,58874
bin/omp,videos/test_small.mp4,21,760362,30352
bin/omp,videos/test_small.mp4,22,687959,152523
bin/omp,videos/test_small.mp4,23,621199,134711
bin/omp,videos/test_small.mp4,24,726173,25831
bin/omp,videos/test_small.mp4,25,638180,145207
bin/omp,videos/test_small.mp4,26,725242,36043
bin/omp,videos/test_small.mp4,27,759017,84145
bin/omp,videos/test_small.mp4,28,663243,168580
bin/omp,videos/test_small.mp4,29,728629,48312
bin/omp,videos/test_small.mp4,30,736697,26573
bin/omp,videos/test_small.mp4,31,575658,102734
bin/omp,videos/test_small.mp4,32,776586,22837
bin/omp,videos/test_small.mp4,33,782858,45306
