name,filename,nworkers,avg,var
bin/threads,videos/test_small.mp4,1,4170752,563195
bin/threads,videos/test_small.mp4,2,4035150,327957
bin/threads,videos/test_small.mp4,3,1962850,100353
bin/threads,videos/test_small.mp4,4,1647312,192302
bin/threads,videos/test_small.mp4,5,1066064,80573
bin/threads,videos/test_small.mp4,6,965193,44069
bin/threads,videos/test_small.mp4,7,783126,81676
bin/threads,videos/test_small.mp4,8,959789,39371
bin/threads,videos/test_small.mp4,9,746816,179887
bin/threads,videos/test_small.mp4,10,776734,24515
bin/threads,videos/test_small.mp4,11,898329,36408
bin/threads,videos/test_small.mp4,12,593014,141270
bin/threads,videos/test_small.mp4,13,896622,59955
bin/threads,videos/test_small.mp4,14,710609,218530
bin/threads,videos/test_small.mp4,15,964566,84185
bin/threads,videos/test_small.mp4,16,978249,36392
bin/threads,videos/test_small.mp4,17,668440,166391
bin/threads,videos/test_small.mp4,18,886930,31879
bin/threads,videos/test_small.mp4,19,756479,189758
bin/threads,videos/test_small.mp4,20,913856,55881
bin/threads,videos/test_small.mp4,21,888998,88938
bin/threads,videos/test_small.mp4,22,719299,177530
bin/threads,videos/test_small.mp4,23,905456,53772
bin/threads,videos/test_small.mp4,24,810574,98519
bin/threads,videos/test_small.mp4,25,887124,27785
bin/threads,videos/test_small.mp4,26,866422,47634
bin/threads,videos/test_small.mp4,27,706900,141740
bin/threads,videos/test_small.mp4,28,851898,60963
bin/threads,videos/test_small.mp4,29,731466,173464
bin/threads,videos/test_small.mp4,30,915270,42264
bin/threads,videos/test_small.mp4,31,928277,108879
bin/threads,videos/test_small.mp4,32,679522,134729
bin/threads,videos/test_small.mp4,33,854803,82718
