name,filename,nworkers,avg,std
bin/fastflow_blocking_no_map,videos/test_big.mp4,1,71900312,7053101
bin/fastflow_blocking_no_map,videos/test_big.mp4,2,69609732,3448593
bin/fastflow_blocking_no_map,videos/test_big.mp4,3,35040056,544890
bin/fastflow_blocking_no_map,videos/test_big.mp4,4,26108779,3920764
bin/fastflow_blocking_no_map,videos/test_big.mp4,5,19681581,2117088
bin/fastflow_blocking_no_map,videos/test_big.mp4,6,16716661,1839453
bin/fastflow_blocking_no_map,videos/test_big.mp4,7,14322377,1781756
bin/fastflow_blocking_no_map,videos/test_big.mp4,8,13542639,258469
bin/fastflow_blocking_no_map,videos/test_big.mp4,9,12103043,589902
bin/fastflow_blocking_no_map,videos/test_big.mp4,10,11405894,1226676
bin/fastflow_blocking_no_map,videos/test_big.mp4,11,10516140,281734
bin/fastflow_blocking_no_map,videos/test_big.mp4,12,9887108,463661
bin/fastflow_blocking_no_map,videos/test_big.mp4,13,9532676,203478
bin/fastflow_blocking_no_map,videos/test_big.mp4,14,8503696,409617
bin/fastflow_blocking_no_map,videos/test_big.mp4,15,8172284,378588
bin/fastflow_blocking_no_map,videos/test_big.mp4,16,7744371,248473
bin/fastflow_blocking_no_map,videos/test_big.mp4,17,7430274,112077
bin/fastflow_blocking_no_map,videos/test_big.mp4,18,7196391,117989
bin/fastflow_blocking_no_map,videos/test_big.mp4,19,7147808,158070
bin/fastflow_blocking_no_map,videos/test_big.mp4,20,7066400,101960
bin/fastflow_blocking_no_map,videos/test_big.mp4,21,6948621,126693
bin/fastflow_blocking_no_map,videos/test_big.mp4,22,7018834,155511
bin/fastflow_blocking_no_map,videos/test_big.mp4,23,7018053,68766
bin/fastflow_blocking_no_map,videos/test_big.mp4,24,6896481,81514
bin/fastflow_blocking_no_map,videos/test_big.mp4,25,6983966,21034
bin/fastflow_blocking_no_map,videos/test_big.mp4,26,7011334,75245
bin/fastflow_blocking_no_map,videos/test_big.mp4,27,7220724,90115
