name,filename,nworkers,avg,std
bin/fastflow,videos/test_big.mp4,1,92039134,20596189
bin/fastflow,videos/test_big.mp4,2,93192977,19423043
bin/fastflow,videos/test_big.mp4,3,67096939,24901874
bin/fastflow,videos/test_big.mp4,4,46296934,6569521
bin/fastflow,videos/test_big.mp4,5,33360245,3231577
bin/fastflow,videos/test_big.mp4,6,29087894,1348270
bin/fastflow,videos/test_big.mp4,7,26115419,2937310
bin/fastflow,videos/test_big.mp4,8,22997385,2278670
bin/fastflow,videos/test_big.mp4,9,22688128,2779878
bin/fastflow,videos/test_big.mp4,10,21045305,1495754
bin/fastflow,videos/test_big.mp4,11,21195934,1712238
bin/fastflow,videos/test_big.mp4,12,20853897,1964525
bin/fastflow,videos/test_big.mp4,13,20524110,161250
bin/fastflow,videos/test_big.mp4,14,16837977,3977079
bin/fastflow,videos/test_big.mp4,15,9378138,151999
bin/fastflow,videos/test_big.mp4,16,8999527,58774
bin/fastflow,videos/test_big.mp4,17,8505741,112222
bin/fastflow,videos/test_big.mp4,18,8086536,47967
bin/fastflow,videos/test_big.mp4,19,7739225,104030
bin/fastflow,videos/test_big.mp4,20,7526856,306646
bin/fastflow,videos/test_big.mp4,21,13006141,659233
bin/fastflow,videos/test_big.mp4,22,10838262,1896799
bin/fastflow,videos/test_big.mp4,23,8966792,1502173
bin/fastflow,videos/test_big.mp4,24,7215340,202192
bin/fastflow,videos/test_big.mp4,25,9575205,2229751
bin/fastflow,videos/test_big.mp4,26,10324274,216875
bin/fastflow,videos/test_big.mp4,27,11163828,2030168
bin/fastflow,videos/test_big.mp4,28,9264667,563272
bin/fastflow,videos/test_big.mp4,29,8714531,132329
bin/fastflow,videos/test_big.mp4,30,8900151,165814
bin/fastflow,videos/test_big.mp4,31,9930184,167606
bin/fastflow,videos/test_big.mp4,32,15628727,196376
bin/fastflow,videos/test_big.mp4,33,20039360,3741274
bin/fastflow,videos/test_big.mp4,34,15768590,244105
bin/fastflow,videos/test_big.mp4,35,15644604,335844
bin/fastflow,videos/test_mid.mp4,1,17290681,4333720
bin/fastflow,videos/test_mid.mp4,2,14551047,3325875
bin/fastflow,videos/test_mid.mp4,3,13681317,4602271
bin/fastflow,videos/test_mid.mp4,4,6336021,186667
bin/fastflow,videos/test_mid.mp4,5,6955613,2228099
bin/fastflow,videos/test_mid.mp4,6,5169301,1658964
bin/fastflow,videos/test_mid.mp4,7,3490485,373985
bin/fastflow,videos/test_mid.mp4,8,3312904,769289
bin/fastflow,videos/test_mid.mp4,9,3655762,1054927
bin/fastflow,videos/test_mid.mp4,10,2431320,241955
bin/fastflow,videos/test_mid.mp4,11,3427879,786944
bin/fastflow,videos/test_mid.mp4,12,1890734,18503
bin/fastflow,videos/test_mid.mp4,13,1743182,24232
bin/fastflow,videos/test_mid.mp4,14,1647187,34280
bin/fastflow,videos/test_mid.mp4,15,1529728,25456
bin/fastflow,videos/test_mid.mp4,16,1472126,30943
bin/fastflow,videos/test_mid.mp4,17,1593220,315667
bin/fastflow,videos/test_mid.mp4,18,2573795,367468
bin/fastflow,videos/test_mid.mp4,19,2567218,399106
bin/fastflow,videos/test_mid.mp4,20,2380240,279852
bin/fastflow,videos/test_mid.mp4,21,2299609,291666
bin/fastflow,videos/test_mid.mp4,22,1676748,287785
bin/fastflow,videos/test_mid.mp4,23,1486018,76079
bin/fastflow,videos/test_mid.mp4,24,1427679,60460
bin/fastflow,videos/test_mid.mp4,25,1534497,103549
bin/fastflow,videos/test_mid.mp4,26,1543815,91683
bin/fastflow,videos/test_mid.mp4,27,1689971,238907
bin/fastflow,videos/test_mid.mp4,28,2044209,25624
bin/fastflow,videos/test_mid.mp4,29,2318540,353720
bin/fastflow,videos/test_mid.mp4,30,2080587,201814
bin/fastflow,videos/test_mid.mp4,31,1924962,119787
bin/fastflow,videos/test_mid.mp4,32,2867043,175838
bin/fastflow,videos/test_mid.mp4,33,2748809,26522
bin/fastflow,videos/test_mid.mp4,34,2716833,42442
bin/fastflow,videos/test_mid.mp4,35,2710904,36173
bin/fastflow,videos/test_small.mp4,1,4117490,1075707
bin/fastflow,videos/test_small.mp4,2,3447142,794955
bin/fastflow,videos/test_small.mp4,3,2134561,16908
bin/fastflow,videos/test_small.mp4,4,1848153,634302
bin/fastflow,videos/test_small.mp4,5,1803971,661895
bin/fastflow,videos/test_small.mp4,6,1282558,499491
bin/fastflow,videos/test_small.mp4,7,909009,169304
bin/fastflow,videos/test_small.mp4,8,742543,16238
bin/fastflow,videos/test_small.mp4,9,629466,17573
bin/fastflow,videos/test_small.mp4,10,564122,14174
bin/fastflow,videos/test_small.mp4,11,541189,11083
bin/fastflow,videos/test_small.mp4,12,500995,14593
bin/fastflow,videos/test_small.mp4,13,483171,16540
bin/fastflow,videos/test_small.mp4,14,446658,14530
bin/fastflow,videos/test_small.mp4,15,424290,14855
bin/fastflow,videos/test_small.mp4,16,520107,161524
bin/fastflow,videos/test_small.mp4,17,756962,121552
bin/fastflow,videos/test_small.mp4,18,798567,195173
bin/fastflow,videos/test_small.mp4,19,788917,124979
bin/fastflow,videos/test_small.mp4,20,683265,106908
bin/fastflow,videos/test_small.mp4,21,689859,112691
bin/fastflow,videos/test_small.mp4,22,630044,77584
bin/fastflow,videos/test_small.mp4,23,632539,95670
bin/fastflow,videos/test_small.mp4,24,590987,98107
bin/fastflow,videos/test_small.mp4,25,535063,19619
bin/fastflow,videos/test_small.mp4,26,567099,39430
bin/fastflow,videos/test_small.mp4,27,602104,36837
bin/fastflow,videos/test_small.mp4,28,582754,62790
bin/fastflow,videos/test_small.mp4,29,491297,19120
bin/fastflow,videos/test_small.mp4,30,498109,36712
bin/fastflow,videos/test_small.mp4,31,526908,40485
bin/fastflow,videos/test_small.mp4,32,769334,15068
bin/fastflow,videos/test_small.mp4,33,791473,26315
bin/fastflow,videos/test_small.mp4,34,800314,59317
bin/fastflow,videos/test_small.mp4,35,868398,169731
