name,filename,nworkers,avg,std
bin/fastflow,videos/test_big.mp4,1,90713412,20294299
bin/fastflow,videos/test_big.mp4,2,90821302,20499008
bin/fastflow,videos/test_big.mp4,3,53129040,2706659
bin/fastflow,videos/test_big.mp4,4,39366133,2601324
bin/fastflow,videos/test_big.mp4,5,30004251,1604963
bin/fastflow,videos/test_big.mp4,6,23923118,1464414
bin/fastflow,videos/test_big.mp4,7,20263101,547067
bin/fastflow,videos/test_big.mp4,8,17820510,728253
bin/fastflow,videos/test_big.mp4,9,15795403,541672
bin/fastflow,videos/test_big.mp4,10,14022156,454682
bin/fastflow,videos/test_big.mp4,11,12754784,292126
bin/fastflow,videos/test_big.mp4,12,11632971,372222
bin/fastflow,videos/test_big.mp4,13,10573427,191833
bin/fastflow,videos/test_big.mp4,14,10012284,178384
bin/fastflow,videos/test_big.mp4,15,9493696,66550
bin/fastflow,videos/test_big.mp4,16,8846479,100129
bin/fastflow,videos/test_big.mp4,17,8490607,61267
bin/fastflow,videos/test_big.mp4,18,8001215,38280
bin/fastflow,videos/test_big.mp4,19,7565846,90230
bin/fastflow,videos/test_big.mp4,20,7207097,92139
bin/fastflow,videos/test_big.mp4,21,7164451,9632
bin/fastflow,videos/test_big.mp4,22,6862014,273646
bin/fastflow,videos/test_big.mp4,23,7207022,46241
bin/fastflow,videos/test_big.mp4,24,7106382,228378
bin/fastflow,videos/test_big.mp4,25,7345102,132730
bin/fastflow,videos/test_big.mp4,26,7307843,156450
bin/fastflow,videos/test_big.mp4,27,7407629,41753
bin/fastflow,videos/test_big.mp4,28,7698474,159105
bin/fastflow,videos/test_big.mp4,29,8203988,306053
bin/fastflow,videos/test_big.mp4,30,8626360,162409
bin/fastflow,videos/test_big.mp4,31,9022706,490136
bin/fastflow,videos/test_big.mp4,32,14455707,377117
bin/fastflow,videos/test_big.mp4,33,14707924,275772
bin/fastflow,videos/test_big.mp4,34,14988065,360224
bin/fastflow,videos/test_big.mp4,35,15183687,310417
bin/fastflow,videos/test_mid.mp4,1,13923948,3430474
bin/fastflow,videos/test_mid.mp4,2,14134039,3506736
bin/fastflow,videos/test_mid.mp4,3,8882503,40330
bin/fastflow,videos/test_mid.mp4,4,5991503,7895
bin/fastflow,videos/test_mid.mp4,5,4629843,110545
bin/fastflow,videos/test_mid.mp4,6,3810580,90590
bin/fastflow,videos/test_mid.mp4,7,3204581,15210
bin/fastflow,videos/test_mid.mp4,8,2811005,36905
bin/fastflow,videos/test_mid.mp4,9,2502256,36366
bin/fastflow,videos/test_mid.mp4,10,2205928,65471
bin/fastflow,videos/test_mid.mp4,11,2013206,34950
bin/fastflow,videos/test_mid.mp4,12,1876890,17400
bin/fastflow,videos/test_mid.mp4,13,1739253,28157
bin/fastflow,videos/test_mid.mp4,14,1631361,20054
bin/fastflow,videos/test_mid.mp4,15,1578391,28112
bin/fastflow,videos/test_mid.mp4,16,1475046,13260
bin/fastflow,videos/test_mid.mp4,17,1421003,18349
bin/fastflow,videos/test_mid.mp4,18,1363279,40073
bin/fastflow,videos/test_mid.mp4,19,1364725,20061
bin/fastflow,videos/test_mid.mp4,20,1293643,50532
bin/fastflow,videos/test_mid.mp4,21,1375505,24896
bin/fastflow,videos/test_mid.mp4,22,1278290,87572
bin/fastflow,videos/test_mid.mp4,23,1365591,11816
bin/fastflow,videos/test_mid.mp4,24,1303855,59619
bin/fastflow,videos/test_mid.mp4,25,1381014,9309
bin/fastflow,videos/test_mid.mp4,26,1359291,70517
bin/fastflow,videos/test_mid.mp4,27,1417934,62039
bin/fastflow,videos/test_mid.mp4,28,1364859,41877
bin/fastflow,videos/test_mid.mp4,29,1409499,10933
bin/fastflow,videos/test_mid.mp4,30,1394603,77852
bin/fastflow,videos/test_mid.mp4,31,1499653,8125
bin/fastflow,videos/test_mid.mp4,32,2605024,69782
bin/fastflow,videos/test_mid.mp4,33,2633883,79903
bin/fastflow,videos/test_mid.mp4,34,2692954,49358
bin/fastflow,videos/test_mid.mp4,35,2648377,27529
bin/fastflow,videos/test_small.mp4,1,3290349,796224
bin/fastflow,videos/test_small.mp4,2,3319107,783699
bin/fastflow,videos/test_small.mp4,3,2107275,38992
bin/fastflow,videos/test_small.mp4,4,1452220,23442
bin/fastflow,videos/test_small.mp4,5,1114573,18150
