name,filename,nworkers,avg,std
bin/fastflow_blocking,videos/test_big.mp4,1,71253891,907008
bin/fastflow_blocking,videos/test_big.mp4,2,70336333,760972
bin/fastflow_blocking,videos/test_big.mp4,3,37800798,149392
bin/fastflow_blocking,videos/test_big.mp4,4,39766063,2062069
bin/fastflow_blocking,videos/test_big.mp4,5,30075952,527025
bin/fastflow_blocking,videos/test_big.mp4,6,24716655,1389801
bin/fastflow_blocking,videos/test_big.mp4,7,20506251,385107
bin/fastflow_blocking,videos/test_big.mp4,8,17976602,465433
bin/fastflow_blocking,videos/test_big.mp4,9,15557543,601791
bin/fastflow_blocking,videos/test_big.mp4,10,14326158,35950
bin/fastflow_blocking,videos/test_big.mp4,11,12830244,132521
bin/fastflow_blocking,videos/test_big.mp4,12,11600345,203078
bin/fastflow_blocking,videos/test_big.mp4,13,10946902,80760
bin/fastflow_blocking,videos/test_big.mp4,14,10100282,187581
bin/fastflow_blocking,videos/test_big.mp4,15,9508924,68092
bin/fastflow_blocking,videos/test_big.mp4,16,8958429,62272
bin/fastflow_blocking,videos/test_big.mp4,17,8361747,141163
bin/fastflow_blocking,videos/test_big.mp4,18,8061844,21968
bin/fastflow_blocking,videos/test_big.mp4,19,7692183,71997
bin/fastflow_blocking,videos/test_big.mp4,20,7329986,74542
bin/fastflow_blocking,videos/test_big.mp4,21,7207709,44409
bin/fastflow_blocking,videos/test_big.mp4,22,7038226,242131
bin/fastflow_blocking,videos/test_big.mp4,23,7152443,67517
bin/fastflow_blocking,videos/test_big.mp4,24,7094681,145459
bin/fastflow_blocking,videos/test_big.mp4,25,7434117,143675
bin/fastflow_blocking,videos/test_big.mp4,26,7059095,203122
bin/fastflow_blocking,videos/test_big.mp4,27,7281059,64301
bin/fastflow_blocking,videos/test_big.mp4,28,7369601,85762
bin/fastflow_blocking,videos/test_big.mp4,29,7435765,67359
bin/fastflow_blocking,videos/test_big.mp4,30,7449258,31320
bin/fastflow_blocking,videos/test_big.mp4,31,7431369,145846
bin/fastflow_blocking,videos/test_big.mp4,32,7914761,209051
bin/fastflow_blocking,videos/test_big.mp4,33,10652828,51116
bin/fastflow_blocking,videos/test_big.mp4,34,10565279,386220
bin/fastflow_blocking,videos/test_big.mp4,35,10727141,120050
bin/fastflow_blocking,videos/test_mid.mp4,1,10519485,149015
bin/fastflow_blocking,videos/test_mid.mp4,2,10574901,149934
bin/fastflow_blocking,videos/test_mid.mp4,3,5831642,96171
bin/fastflow_blocking,videos/test_mid.mp4,4,6065734,116145
bin/fastflow_blocking,videos/test_mid.mp4,5,4600519,94336
bin/fastflow_blocking,videos/test_mid.mp4,6,3800230,74784
bin/fastflow_blocking,videos/test_mid.mp4,7,3192825,79025
bin/fastflow_blocking,videos/test_mid.mp4,8,2799832,73199
bin/fastflow_blocking,videos/test_mid.mp4,9,2412443,37996
bin/fastflow_blocking,videos/test_mid.mp4,10,2188902,41457
bin/fastflow_blocking,videos/test_mid.mp4,11,1996508,26912
bin/fastflow_blocking,videos/test_mid.mp4,12,1873952,12259
bin/fastflow_blocking,videos/test_mid.mp4,13,1722720,38993
bin/fastflow_blocking,videos/test_mid.mp4,14,1625596,25141
bin/fastflow_blocking,videos/test_mid.mp4,15,1561070,15673
bin/fastflow_blocking,videos/test_mid.mp4,16,1459695,16791
bin/fastflow_blocking,videos/test_mid.mp4,17,1401747,15903
bin/fastflow_blocking,videos/test_mid.mp4,18,1340274,17115
bin/fastflow_blocking,videos/test_mid.mp4,19,1340215,8182
bin/fastflow_blocking,videos/test_mid.mp4,20,1298306,41199
bin/fastflow_blocking,videos/test_mid.mp4,21,1333193,27040
bin/fastflow_blocking,videos/test_mid.mp4,22,1283405,50090
bin/fastflow_blocking,videos/test_mid.mp4,23,1335716,13295
bin/fastflow_blocking,videos/test_mid.mp4,24,1300861,67998
bin/fastflow_blocking,videos/test_mid.mp4,25,1344803,16516
bin/fastflow_blocking,videos/test_mid.mp4,26,1310334,79590
bin/fastflow_blocking,videos/test_mid.mp4,27,1383276,39981
bin/fastflow_blocking,videos/test_mid.mp4,28,1317446,55962
bin/fastflow_blocking,videos/test_mid.mp4,29,1395413,6138
bin/fastflow_blocking,videos/test_mid.mp4,30,1369150,56186
bin/fastflow_blocking,videos/test_mid.mp4,31,1386323,27591
bin/fastflow_blocking,videos/test_mid.mp4,32,1476742,27042
bin/fastflow_blocking,videos/test_mid.mp4,33,1974634,15710
bin/fastflow_blocking,videos/test_mid.mp4,34,1900714,26324
bin/fastflow_blocking,videos/test_mid.mp4,35,1886132,17998
bin/fastflow_blocking,videos/test_small.mp4,1,2504006,30927
bin/fastflow_blocking,videos/test_small.mp4,2,2477983,57853
bin/fastflow_blocking,videos/test_small.mp4,3,1362859,5771
bin/fastflow_blocking,videos/test_small.mp4,4,1464307,28173
bin/fastflow_blocking,videos/test_small.mp4,5,1149647,29270
bin/fastflow_blocking,videos/test_small.mp4,6,925054,20848
bin/fastflow_blocking,videos/test_small.mp4,7,791797,14343
bin/fastflow_blocking,videos/test_small.mp4,8,696384,12336
bin/fastflow_blocking,videos/test_small.mp4,9,631051,6553
bin/fastflow_blocking,videos/test_small.mp4,10,552056,10015
bin/fastflow_blocking,videos/test_small.mp4,11,519469,7401
bin/fastflow_blocking,videos/test_small.mp4,12,482919,8354
bin/fastflow_blocking,videos/test_small.mp4,13,445237,2593
bin/fastflow_blocking,videos/test_small.mp4,14,425333,950
bin/fastflow_blocking,videos/test_small.mp4,15,399031,6103
bin/fastflow_blocking,videos/test_small.mp4,16,387098,11580
