name,filename,nworkers,avg,std
bin/fastflow_blocking_no_map,videos/test_big.mp4,1,69108280,1119167
bin/fastflow_blocking_no_map,videos/test_big.mp4,2,68315760,689989
bin/fastflow_blocking_no_map,videos/test_big.mp4,3,36030634,1115543
bin/fastflow_blocking_no_map,videos/test_big.mp4,4,24623018,1623975
bin/fastflow_blocking_no_map,videos/test_big.mp4,5,22430771,3850642
bin/fastflow_blocking_no_map,videos/test_big.mp4,6,17815350,2986641
bin/fastflow_blocking_no_map,videos/test_big.mp4,7,17268745,377793
bin/fastflow_blocking_no_map,videos/test_big.mp4,8,14543598,283328
bin/fastflow_blocking_no_map,videos/test_big.mp4,9,12455811,1262063
bin/fastflow_blocking_no_map,videos/test_big.mp4,10,12340824,346503
bin/fastflow_blocking_no_map,videos/test_big.mp4,11,10554114,673056
bin/fastflow_blocking_no_map,videos/test_big.mp4,12,9511773,694721
bin/fastflow_blocking_no_map,videos/test_big.mp4,13,10192556,627733
bin/fastflow_blocking_no_map,videos/test_big.mp4,14,8278209,406677
bin/fastflow_blocking_no_map,videos/test_big.mp4,15,9308516,233489
bin/fastflow_blocking_no_map,videos/test_big.mp4,16,7808261,78322
bin/fastflow_blocking_no_map,videos/test_big.mp4,17,8057806,274210
bin/fastflow_blocking_no_map,videos/test_big.mp4,18,7386201,141419
bin/fastflow_blocking_no_map,videos/test_big.mp4,19,7335831,147733
bin/fastflow_blocking_no_map,videos/test_big.mp4,20,7300926,98681
bin/fastflow_blocking_no_map,videos/test_big.mp4,21,7226913,116720
bin/fastflow_blocking_no_map,videos/test_big.mp4,22,7198392,50028
bin/fastflow_blocking_no_map,videos/test_big.mp4,23,7159751,79161
bin/fastflow_blocking_no_map,videos/test_big.mp4,24,7228173,55259
bin/fastflow_blocking_no_map,videos/test_big.mp4,25,7212886,86176
bin/fastflow_blocking_no_map,videos/test_big.mp4,26,7267942,106496
bin/fastflow_blocking_no_map,videos/test_big.mp4,27,7268126,105527
bin/fastflow_blocking_no_map,videos/test_big.mp4,28,7298458,54511
bin/fastflow_blocking_no_map,videos/test_big.mp4,29,7216429,96413
bin/fastflow_blocking_no_map,videos/test_big.mp4,30,7324700,56293
bin/fastflow_blocking_no_map,videos/test_big.mp4,31,7337521,51077
bin/fastflow_blocking_no_map,videos/test_big.mp4,32,7490487,25891
bin/fastflow_blocking_no_map,videos/test_big.mp4,33,7538653,72940
bin/fastflow_blocking_no_map,videos/test_big.mp4,34,7643330,76894
bin/fastflow_blocking_no_map,videos/test_big.mp4,35,7549237,169107
bin/fastflow_blocking_no_map,videos/test_mid.mp4,1,10068065,79899
bin/fastflow_blocking_no_map,videos/test_mid.mp4,2,10171736,64515
bin/fastflow_blocking_no_map,videos/test_mid.mp4,3,5371393,61054
bin/fastflow_blocking_no_map,videos/test_mid.mp4,4,4222697,912774
bin/fastflow_blocking_no_map,videos/test_mid.mp4,5,2929857,57933
bin/fastflow_blocking_no_map,videos/test_mid.mp4,6,2627687,243730
bin/fastflow_blocking_no_map,videos/test_mid.mp4,7,2350343,222040
bin/fastflow_blocking_no_map,videos/test_mid.mp4,8,2280183,184041
bin/fastflow_blocking_no_map,videos/test_mid.mp4,9,1950727,99645
bin/fastflow_blocking_no_map,videos/test_mid.mp4,10,1781833,57081
bin/fastflow_blocking_no_map,videos/test_mid.mp4,11,1701687,68078
bin/fastflow_blocking_no_map,videos/test_mid.mp4,12,1580226,45087
bin/fastflow_blocking_no_map,videos/test_mid.mp4,13,1476613,63001
bin/fastflow_blocking_no_map,videos/test_mid.mp4,14,1406416,24422
bin/fastflow_blocking_no_map,videos/test_mid.mp4,15,1358419,10926
bin/fastflow_blocking_no_map,videos/test_mid.mp4,16,1303963,26565
bin/fastflow_blocking_no_map,videos/test_mid.mp4,17,1315416,22060
bin/fastflow_blocking_no_map,videos/test_mid.mp4,18,1286774,22959
bin/fastflow_blocking_no_map,videos/test_mid.mp4,19,1282216,15984
bin/fastflow_blocking_no_map,videos/test_mid.mp4,20,1279548,23437
bin/fastflow_blocking_no_map,videos/test_mid.mp4,21,1294979,36526
bin/fastflow_blocking_no_map,videos/test_mid.mp4,22,1289323,32452
bin/fastflow_blocking_no_map,videos/test_mid.mp4,23,1327008,18153
bin/fastflow_blocking_no_map,videos/test_mid.mp4,24,1309656,15747
bin/fastflow_blocking_no_map,videos/test_mid.mp4,25,1320552,10875
bin/fastflow_blocking_no_map,videos/test_mid.mp4,26,1319836,16582
bin/fastflow_blocking_no_map,videos/test_mid.mp4,27,1334725,35757
bin/fastflow_blocking_no_map,videos/test_mid.mp4,28,1374961,25991
bin/fastflow_blocking_no_map,videos/test_mid.mp4,29,1341933,22567
bin/fastflow_blocking_no_map,videos/test_mid.mp4,30,1381873,21506
bin/fastflow_blocking_no_map,videos/test_mid.mp4,31,1359286,23012
bin/fastflow_blocking_no_map,videos/test_mid.mp4,32,1388632,34526
bin/fastflow_blocking_no_map,videos/test_mid.mp4,33,1413402,14947
bin/fastflow_blocking_no_map,videos/test_mid.mp4,34,1376362,29190
bin/fastflow_blocking_no_map,videos/test_mid.mp4,35,1445860,61890
bin/fastflow_blocking_no_map,videos/test_small.mp4,1,2406689,56446
