name,filename,nworkers,avg,std
bin/omp,videos/test_big.mp4,1,65258471,697321
bin/omp,videos/test_big.mp4,2,66664252,599411
bin/omp,videos/test_big.mp4,3,36962920,8587811
bin/omp,videos/test_big.mp4,4,21509366,300954
bin/omp,videos/test_big.mp4,5,16383500,186527
bin/omp,videos/test_big.mp4,6,13684706,473327
bin/omp,videos/test_big.mp4,7,13130567,316867
bin/omp,videos/test_big.mp4,8,10851345,343839
bin/omp,videos/test_big.mp4,9,9504051,712405
bin/omp,videos/test_big.mp4,10,8448684,515362
bin/omp,videos/test_big.mp4,11,7583584,538925
bin/omp,videos/test_big.mp4,12,6584928,245746
bin/omp,videos/test_big.mp4,13,6292677,106227
bin/omp,videos/test_big.mp4,14,6355427,98297
bin/omp,videos/test_big.mp4,15,6362585,199877
bin/omp,videos/test_big.mp4,16,6453037,202211
bin/omp,videos/test_big.mp4,17,6227403,150299
bin/omp,videos/test_big.mp4,18,6237650,118432
bin/omp,videos/test_big.mp4,19,6273892,146814
bin/omp,videos/test_big.mp4,20,6479517,203859
bin/omp,videos/test_big.mp4,21,6414656,122214
bin/omp,videos/test_big.mp4,22,6248754,177072
bin/omp,videos/test_big.mp4,23,6298852,165815
bin/omp,videos/test_big.mp4,24,6338154,116396
bin/omp,videos/test_big.mp4,25,6385523,132345
bin/omp,videos/test_big.mp4,26,6324509,168611
bin/omp,videos/test_big.mp4,27,6299259,180038
bin/omp,videos/test_big.mp4,28,6343668,156897
bin/omp,videos/test_big.mp4,29,6348686,115084
bin/omp,videos/test_big.mp4,30,6432812,125027
bin/omp,videos/test_big.mp4,31,6311998,80509
bin/omp,videos/test_big.mp4,32,6383348,51583
bin/omp,videos/test_big.mp4,33,6364138,110101
bin/omp,videos/test_big.mp4,34,6490586,94436
bin/omp,videos/test_big.mp4,35,6381121,236078
bin/omp,videos/test_mid.mp4,1,8985485,15753
bin/omp,videos/test_mid.mp4,2,8974195,17828
bin/omp,videos/test_mid.mp4,3,4804426,246916
bin/omp,videos/test_mid.mp4,4,3220323,9180
bin/omp,videos/test_mid.mp4,5,2533426,22369
bin/omp,videos/test_mid.mp4,6,2030203,20608
bin/omp,videos/test_mid.mp4,7,1695995,8730
bin/omp,videos/test_mid.mp4,8,1629006,63751
bin/omp,videos/test_mid.mp4,9,1461594,21639
bin/omp,videos/test_mid.mp4,10,1283101,15554
bin/omp,videos/test_mid.mp4,11,1236946,56638
bin/omp,videos/test_mid.mp4,12,1193508,49233
bin/omp,videos/test_mid.mp4,13,1151732,30710
bin/omp,videos/test_mid.mp4,14,1153657,18679
bin/omp,videos/test_mid.mp4,15,1168573,16464
bin/omp,videos/test_mid.mp4,16,1129693,36090
bin/omp,videos/test_mid.mp4,17,1185103,19670
bin/omp,videos/test_mid.mp4,18,1153889,21973
bin/omp,videos/test_mid.mp4,19,1168107,34947
bin/omp,videos/test_mid.mp4,20,1175314,12427
bin/omp,videos/test_mid.mp4,21,1185783,14499
bin/omp,videos/test_mid.mp4,22,1192781,31787
bin/omp,videos/test_mid.mp4,23,1206948,21770
bin/omp,videos/test_mid.mp4,24,1209586,36785
bin/omp,videos/test_mid.mp4,25,1214505,38234
bin/omp,videos/test_mid.mp4,26,1193693,60729
bin/omp,videos/test_mid.mp4,27,1203679,19142
bin/omp,videos/test_mid.mp4,28,1208162,10977
bin/omp,videos/test_mid.mp4,29,1221836,7929
bin/omp,videos/test_mid.mp4,30,1187905,15145
bin/omp,videos/test_mid.mp4,31,1218747,32029
bin/omp,videos/test_mid.mp4,32,1200458,30913
bin/omp,videos/test_mid.mp4,33,1205268,7179
bin/omp,videos/test_mid.mp4,34,1200622,40329
bin/omp,videos/test_mid.mp4,35,1223263,12724
bin/omp,videos/test_small.mp4,1,2126726,13657
bin/omp,videos/test_small.mp4,2,2132838,10209
bin/omp,videos/test_small.mp4,3,1102588,17903
bin/omp,videos/test_small.mp4,4,758041,13528
bin/omp,videos/test_small.mp4,5,586117,7986
bin/omp,videos/test_small.mp4,6,477544,4167
bin/omp,videos/test_small.mp4,7,413193,5296
bin/omp,videos/test_small.mp4,8,361812,2787
bin/omp,videos/test_small.mp4,9,327096,3121
bin/omp,videos/test_small.mp4,10,302462,5775
bin/omp,videos/test_small.mp4,11,306616,14563
bin/omp,videos/test_small.mp4,12,306916,3914
bin/omp,videos/test_small.mp4,13,323445,14131
bin/omp,videos/test_small.mp4,14,318492,13112
bin/omp,videos/test_small.mp4,15,332883,15728
bin/omp,videos/test_small.mp4,16,325974,9543
bin/omp,videos/test_small.mp4,17,331320,14560
bin/omp,videos/test_small.mp4,18,341733,7396
bin/omp,videos/test_small.mp4,19,344104,6181
bin/omp,videos/test_small.mp4,20,328328,12919
bin/omp,videos/test_small.mp4,21,345323,3527
bin/omp,videos/test_small.mp4,22,341552,3214
bin/omp,videos/test_small.mp4,23,345899,12013
bin/omp,videos/test_small.mp4,24,355295,10114
bin/omp,videos/test_small.mp4,25,359109,9819
bin/omp,videos/test_small.mp4,26,362548,2260
bin/omp,videos/test_small.mp4,27,362747,13434
bin/omp,videos/test_small.mp4,28,371420,7402
bin/omp,videos/test_small.mp4,29,363777,11846
bin/omp,videos/test_small.mp4,30,364447,8630
bin/omp,videos/test_small.mp4,31,375334,11602
bin/omp,videos/test_small.mp4,32,375640,14942
bin/omp,videos/test_small.mp4,33,389020,7366
bin/omp,videos/test_small.mp4,34,354670,9231
bin/omp,videos/test_small.mp4,35,353514,11718
