name,filename,nworkers,avg,std
bin/threads,videos/test_big.mp4,1,66978506,254434
bin/threads,videos/test_big.mp4,2,66767316,193664
bin/threads,videos/test_big.mp4,3,34844087,395383
bin/threads,videos/test_big.mp4,4,26241579,2708378
bin/threads,videos/test_big.mp4,5,19691889,1345479
bin/threads,videos/test_big.mp4,6,16953840,1102555
bin/threads,videos/test_big.mp4,7,13724269,247820
bin/threads,videos/test_big.mp4,8,11973233,308601
bin/threads,videos/test_big.mp4,9,10723708,675930
bin/threads,videos/test_big.mp4,10,9634541,204858
bin/threads,videos/test_big.mp4,11,8697821,99483
bin/threads,videos/test_big.mp4,12,8658583,393710
bin/threads,videos/test_big.mp4,13,7610638,332770
bin/threads,videos/test_big.mp4,14,7356760,190440
bin/threads,videos/test_big.mp4,15,7064008,43312
bin/threads,videos/test_big.mp4,16,6901929,34385
bin/threads,videos/test_big.mp4,17,6804645,115385
bin/threads,videos/test_big.mp4,18,6727844,154559
bin/threads,videos/test_big.mp4,19,6765718,166504
bin/threads,videos/test_big.mp4,20,6734020,236184
bin/threads,videos/test_big.mp4,21,6855528,83923
bin/threads,videos/test_big.mp4,22,6875233,72308
bin/threads,videos/test_big.mp4,23,6813345,115598
bin/threads,videos/test_big.mp4,24,6829742,59032
bin/threads,videos/test_big.mp4,25,6929736,64544
bin/threads,videos/test_big.mp4,26,7065639,87573
bin/threads,videos/test_big.mp4,27,7026291,57665
bin/threads,videos/test_big.mp4,28,7000008,91348
bin/threads,videos/test_big.mp4,29,6931308,77871
bin/threads,videos/test_big.mp4,30,6772262,105975
bin/threads,videos/test_big.mp4,31,7029034,63653
bin/threads,videos/test_big.mp4,32,6943803,112528
bin/threads,videos/test_big.mp4,33,7012751,104603
bin/threads,videos/test_big.mp4,34,7025217,36705
bin/threads,videos/test_big.mp4,35,6907776,140048
bin/threads,videos/test_mid.mp4,1,9981706,32176
bin/threads,videos/test_mid.mp4,2,9915025,70476
bin/threads,videos/test_mid.mp4,3,6091785,1536714
bin/threads,videos/test_mid.mp4,4,3877842,160009
bin/threads,videos/test_mid.mp4,5,3085932,191138
bin/threads,videos/test_mid.mp4,6,2404116,101510
bin/threads,videos/test_mid.mp4,7,2037918,92930
bin/threads,videos/test_mid.mp4,8,1967430,101318
bin/threads,videos/test_mid.mp4,9,1770376,100544
bin/threads,videos/test_mid.mp4,10,1555846,33927
bin/threads,videos/test_mid.mp4,11,1537907,46431
bin/threads,videos/test_mid.mp4,12,1361631,27557
bin/threads,videos/test_mid.mp4,13,1259570,34852
bin/threads,videos/test_mid.mp4,14,1214374,31550
bin/threads,videos/test_mid.mp4,15,1174071,17752
bin/threads,videos/test_mid.mp4,16,1167264,17065
bin/threads,videos/test_mid.mp4,17,1153581,18566
bin/threads,videos/test_mid.mp4,18,1194684,24480
bin/threads,videos/test_mid.mp4,19,1195815,5319
bin/threads,videos/test_mid.mp4,20,1194556,29359
bin/threads,videos/test_mid.mp4,21,1198198,17744
bin/threads,videos/test_mid.mp4,22,1207623,21317
bin/threads,videos/test_mid.mp4,23,1178115,26574
bin/threads,videos/test_mid.mp4,24,1207030,27089
bin/threads,videos/test_mid.mp4,25,1194480,14492
bin/threads,videos/test_mid.mp4,26,1185367,20167
bin/threads,videos/test_mid.mp4,27,1237122,25282
bin/threads,videos/test_mid.mp4,28,1200282,20246
bin/threads,videos/test_mid.mp4,29,1193717,25743
bin/threads,videos/test_mid.mp4,30,1206528,26227
bin/threads,videos/test_mid.mp4,31,1191262,14092
bin/threads,videos/test_mid.mp4,32,1260814,16215
bin/threads,videos/test_mid.mp4,33,1247252,46077
bin/threads,videos/test_mid.mp4,34,1237549,35364
bin/threads,videos/test_mid.mp4,35,1223257,19474
bin/threads,videos/test_small.mp4,1,2317690,15707
bin/threads,videos/test_small.mp4,2,2317655,16163
bin/threads,videos/test_small.mp4,3,1198670,9673
bin/threads,videos/test_small.mp4,4,893447,110837
bin/threads,videos/test_small.mp4,5,694161,64058
bin/threads,videos/test_small.mp4,6,651732,70765
bin/threads,videos/test_small.mp4,7,486015,11613
bin/threads,videos/test_small.mp4,8,455620,14601
bin/threads,videos/test_small.mp4,9,403605,12242
bin/threads,videos/test_small.mp4,10,378160,14882
bin/threads,videos/test_small.mp4,11,370678,10556
bin/threads,videos/test_small.mp4,12,328558,4795
bin/threads,videos/test_small.mp4,13,331885,11743
bin/threads,videos/test_small.mp4,14,337499,5140
bin/threads,videos/test_small.mp4,15,328547,1810
bin/threads,videos/test_small.mp4,16,324071,5331
bin/threads,videos/test_small.mp4,17,323029,4949
bin/threads,videos/test_small.mp4,18,335162,10770
bin/threads,videos/test_small.mp4,19,338162,5738
bin/threads,videos/test_small.mp4,20,343416,11370
bin/threads,videos/test_small.mp4,21,333569,5282
bin/threads,videos/test_small.mp4,22,339966,9921
bin/threads,videos/test_small.mp4,23,357303,13863
bin/threads,videos/test_small.mp4,24,339057,12574
bin/threads,videos/test_small.mp4,25,338639,7350
bin/threads,videos/test_small.mp4,26,334157,4342
bin/threads,videos/test_small.mp4,27,350366,7376
bin/threads,videos/test_small.mp4,28,343184,14993
bin/threads,videos/test_small.mp4,29,354366,13791
bin/threads,videos/test_small.mp4,30,363792,11652
bin/threads,videos/test_small.mp4,31,354745,10825
bin/threads,videos/test_small.mp4,32,347807,8410
bin/threads,videos/test_small.mp4,33,360235,14035
bin/threads,videos/test_small.mp4,34,369663,16517
bin/threads,videos/test_small.mp4,35,365745,11509
