name,filename,nworkers,avg,std
bin/omp,videos/test_big.mp4,1,72499529,3958888
bin/omp,videos/test_big.mp4,2,66329155,1904077
bin/omp,videos/test_big.mp4,3,36598201,4596287
bin/omp,videos/test_big.mp4,4,22768246,766828
bin/omp,videos/test_big.mp4,5,17728062,556308
bin/omp,videos/test_big.mp4,6,15811104,1066086
bin/omp,videos/test_big.mp4,7,13371838,426797
bin/omp,videos/test_big.mp4,8,11977887,559586
bin/omp,videos/test_big.mp4,9,10636280,374104
bin/omp,videos/test_big.mp4,10,9883016,423805
bin/omp,videos/test_big.mp4,11,8713322,195743
bin/omp,videos/test_big.mp4,12,8424167,492586
bin/omp,videos/test_big.mp4,13,7844102,256004
bin/omp,videos/test_big.mp4,14,7783222,317116
bin/omp,videos/test_big.mp4,15,7669905,310747
bin/omp,videos/test_big.mp4,16,7607545,460145
bin/omp,videos/test_big.mp4,17,7665763,533175
bin/omp,videos/test_big.mp4,18,7871863,297286
bin/omp,videos/test_big.mp4,19,8020145,549484
bin/omp,videos/test_big.mp4,20,7957499,358190
bin/omp,videos/test_big.mp4,21,7894254,409511
bin/omp,videos/test_big.mp4,22,7977147,454437
bin/omp,videos/test_big.mp4,23,8108880,814132
bin/omp,videos/test_big.mp4,24,7915279,684471
bin/omp,videos/test_big.mp4,25,8195044,563986
bin/omp,videos/test_big.mp4,26,8008884,467426
bin/omp,videos/test_big.mp4,27,8563585,588921
bin/omp,videos/test_big.mp4,28,8965951,825780
bin/omp,videos/test_big.mp4,29,8893603,1107204
bin/omp,videos/test_big.mp4,30,8397446,897930
bin/omp,videos/test_big.mp4,31,8800651,804092
bin/omp,videos/test_big.mp4,32,9109125,971640
bin/omp,videos/test_big.mp4,33,8867751,1022951
bin/omp,videos/test_big.mp4,34,9253432,1256924
bin/omp,videos/test_big.mp4,35,8930902,784952
bin/omp,videos/test_mid.mp4,1,12949214,485374
bin/omp,videos/test_mid.mp4,2,13682092,1276419
bin/omp,videos/test_mid.mp4,3,6883931,373820
bin/omp,videos/test_mid.mp4,4,5172064,329629
bin/omp,videos/test_mid.mp4,5,3841628,159328
bin/omp,videos/test_mid.mp4,6,3440951,63011
bin/omp,videos/test_mid.mp4,7,2820000,132591
bin/omp,videos/test_mid.mp4,8,2592971,258679
bin/omp,videos/test_mid.mp4,9,2594008,26491
bin/omp,videos/test_mid.mp4,10,2137912,67806
bin/omp,videos/test_mid.mp4,11,1851778,131256
bin/omp,videos/test_mid.mp4,12,2594602,116912
bin/omp,videos/test_mid.mp4,13,1835392,322383
bin/omp,videos/test_mid.mp4,14,1638267,18827
bin/omp,videos/test_mid.mp4,15,1992882,421041
bin/omp,videos/test_mid.mp4,16,2581772,66891
bin/omp,videos/test_mid.mp4,17,1965584,147585
bin/omp,videos/test_mid.mp4,18,1753253,57545
bin/omp,videos/test_mid.mp4,19,2247319,449555
bin/omp,videos/test_mid.mp4,20,2787860,109701
bin/omp,videos/test_mid.mp4,21,1847556,55924
bin/omp,videos/test_mid.mp4,22,1759667,66748
bin/omp,videos/test_mid.mp4,23,2041506,241946
bin/omp,videos/test_mid.mp4,24,2384049,109563
bin/omp,videos/test_mid.mp4,25,1883642,25341
bin/omp,videos/test_mid.mp4,26,1821106,100102
bin/omp,videos/test_mid.mp4,27,2228724,308588
bin/omp,videos/test_mid.mp4,28,1555247,526733
bin/omp,videos/test_mid.mp4,29,1249300,31744
bin/omp,videos/test_mid.mp4,30,1232699,41909
bin/omp,videos/test_mid.mp4,31,1236333,17718
bin/omp,videos/test_mid.mp4,32,1209497,16852
bin/omp,videos/test_mid.mp4,33,1251932,24234
bin/omp,videos/test_mid.mp4,34,1241592,9839
bin/omp,videos/test_mid.mp4,35,1250397,19273
bin/omp,videos/test_small.mp4,1,2143577,9331
bin/omp,videos/test_small.mp4,2,2139650,12415
bin/omp,videos/test_small.mp4,3,1099963,5598
bin/omp,videos/test_small.mp4,4,755482,5115
bin/omp,videos/test_small.mp4,5,585029,5597
bin/omp,videos/test_small.mp4,6,488104,8066
bin/omp,videos/test_small.mp4,7,475580,4974
bin/omp,videos/test_small.mp4,8,461045,19062
bin/omp,videos/test_small.mp4,9,362704,1127
bin/omp,videos/test_small.mp4,10,337880,4676
bin/omp,videos/test_small.mp4,11,314376,6453
bin/omp,videos/test_small.mp4,12,327174,19827
bin/omp,videos/test_small.mp4,13,333294,8829
bin/omp,videos/test_small.mp4,14,338950,4355
bin/omp,videos/test_small.mp4,15,326568,15420
bin/omp,videos/test_small.mp4,16,329300,13882
bin/omp,videos/test_small.mp4,17,345736,13215
bin/omp,videos/test_small.mp4,18,352432,10357
bin/omp,videos/test_small.mp4,19,345811,4135
bin/omp,videos/test_small.mp4,20,343037,11845
bin/omp,videos/test_small.mp4,21,349888,17337
bin/omp,videos/test_small.mp4,22,348228,11144
bin/omp,videos/test_small.mp4,23,351620,18760
bin/omp,videos/test_small.mp4,24,355249,24574
bin/omp,videos/test_small.mp4,25,361091,7853
bin/omp,videos/test_small.mp4,26,372865,6382
bin/omp,videos/test_small.mp4,27,377378,6274
bin/omp,videos/test_small.mp4,28,386389,14259
bin/omp,videos/test_small.mp4,29,404649,29718
bin/omp,videos/test_small.mp4,30,393771,5048
bin/omp,videos/test_small.mp4,31,379549,9900
bin/omp,videos/test_small.mp4,32,415590,16578
bin/omp,videos/test_small.mp4,33,430753,5423
bin/omp,videos/test_small.mp4,34,390228,17647
bin/omp,videos/test_small.mp4,35,368278,9682
