name,filename,nworkers,avg,std
bin/omp,videos/test_big.mp4,1,72966929,3716499
bin/omp,videos/test_big.mp4,2,74423300,4049224
bin/omp,videos/test_big.mp4,3,32266485,506885
bin/omp,videos/test_big.mp4,4,23291626,1019458
bin/omp,videos/test_big.mp4,5,18904912,889664
bin/omp,videos/test_big.mp4,6,15067726,653169
bin/omp,videos/test_big.mp4,7,13857171,518027
bin/omp,videos/test_big.mp4,8,12405451,949373
bin/omp,videos/test_big.mp4,9,10209642,252772
bin/omp,videos/test_big.mp4,10,8629055,725044
bin/omp,videos/test_big.mp4,11,7313299,353705
bin/omp,videos/test_big.mp4,12,7171031,200072
bin/omp,videos/test_big.mp4,13,6876212,395879
bin/omp,videos/test_big.mp4,14,6749076,337856
bin/omp,videos/test_big.mp4,15,6894963,336654
bin/omp,videos/test_big.mp4,16,6828898,173269
bin/omp,videos/test_big.mp4,17,6749637,354832
bin/omp,videos/test_big.mp4,18,7015511,87518
bin/omp,videos/test_big.mp4,19,7092236,244341
bin/omp,videos/test_big.mp4,20,7139068,221362
bin/omp,videos/test_big.mp4,21,6988877,255959
bin/omp,videos/test_big.mp4,22,7089141,251461
bin/omp,videos/test_big.mp4,23,7094834,146416
bin/omp,videos/test_big.mp4,24,7430328,349911
bin/omp,videos/test_big.mp4,25,7138882,159507
bin/omp,videos/test_big.mp4,26,7127056,102557
bin/omp,videos/test_big.mp4,27,7217590,136722
bin/omp,videos/test_big.mp4,28,7235288,131431
bin/omp,videos/test_big.mp4,29,7348177,330467
bin/omp,videos/test_big.mp4,30,7165358,119727
bin/omp,videos/test_big.mp4,31,6941816,183997
bin/omp,videos/test_big.mp4,32,7195650,100672
bin/omp,videos/test_big.mp4,33,7134923,84334
bin/omp,videos/test_big.mp4,34,7049684,119209
bin/omp,videos/test_big.mp4,35,7097584,165333
bin/omp,videos/test_mid.mp4,1,10221872,168905
bin/omp,videos/test_mid.mp4,2,9928282,21373
bin/omp,videos/test_mid.mp4,3,5041017,93928
bin/omp,videos/test_mid.mp4,4,3649826,201761
bin/omp,videos/test_mid.mp4,5,2617517,32868
bin/omp,videos/test_mid.mp4,6,2128856,8423
bin/omp,videos/test_mid.mp4,7,1778544,16667
bin/omp,videos/test_mid.mp4,8,1756570,15626
bin/omp,videos/test_mid.mp4,9,1620602,111831
bin/omp,videos/test_mid.mp4,10,1437479,69765
bin/omp,videos/test_mid.mp4,11,1441294,40329
bin/omp,videos/test_mid.mp4,12,1324956,64837
bin/omp,videos/test_mid.mp4,13,1309037,92652
bin/omp,videos/test_mid.mp4,14,1266718,52089
bin/omp,videos/test_mid.mp4,15,1291345,44432
bin/omp,videos/test_mid.mp4,16,1328803,17094
bin/omp,videos/test_mid.mp4,17,1388636,43333
bin/omp,videos/test_mid.mp4,18,1326196,31558
bin/omp,videos/test_mid.mp4,19,1350061,56832
bin/omp,videos/test_mid.mp4,20,1394574,21315
bin/omp,videos/test_mid.mp4,21,1365669,53894
bin/omp,videos/test_mid.mp4,22,1458535,29224
bin/omp,videos/test_mid.mp4,23,1447560,24049
bin/omp,videos/test_mid.mp4,24,1487267,21867
bin/omp,videos/test_mid.mp4,25,1482680,49141
bin/omp,videos/test_mid.mp4,26,1398063,59929
bin/omp,videos/test_mid.mp4,27,1496964,16357
bin/omp,videos/test_mid.mp4,28,1546616,49121
bin/omp,videos/test_mid.mp4,29,1495741,13829
bin/omp,videos/test_mid.mp4,30,1440156,28416
bin/omp,videos/test_mid.mp4,31,1491021,38619
bin/omp,videos/test_mid.mp4,32,1477351,20642
bin/omp,videos/test_mid.mp4,33,1544117,27552
bin/omp,videos/test_mid.mp4,34,1473986,36050
bin/omp,videos/test_mid.mp4,35,1494517,34646
bin/omp,videos/test_small.mp4,1,2404900,51303
bin/omp,videos/test_small.mp4,2,2384681,7893
bin/omp,videos/test_small.mp4,3,1295891,11637
bin/omp,videos/test_small.mp4,4,898276,14647
bin/omp,videos/test_small.mp4,5,696690,18223
bin/omp,videos/test_small.mp4,6,617584,54184
bin/omp,videos/test_small.mp4,7,465114,9964
bin/omp,videos/test_small.mp4,8,420073,13675
bin/omp,videos/test_small.mp4,9,418088,39095
bin/omp,videos/test_small.mp4,10,429303,15504
bin/omp,videos/test_small.mp4,11,432576,9986
bin/omp,videos/test_small.mp4,12,424111,38467
bin/omp,videos/test_small.mp4,13,473864,31564
bin/omp,videos/test_small.mp4,14,446538,12181
bin/omp,videos/test_small.mp4,15,444074,37002
bin/omp,videos/test_small.mp4,16,425436,34683
bin/omp,videos/test_small.mp4,17,437271,19337
bin/omp,videos/test_small.mp4,18,472094,16348
bin/omp,videos/test_small.mp4,19,453532,28361
bin/omp,videos/test_small.mp4,20,491559,15969
bin/omp,videos/test_small.mp4,21,482929,24914
bin/omp,videos/test_small.mp4,22,511675,8187
bin/omp,videos/test_small.mp4,23,505014,16899
bin/omp,videos/test_small.mp4,24,507798,16202
bin/omp,videos/test_small.mp4,25,499314,9323
bin/omp,videos/test_small.mp4,26,496962,5644
bin/omp,videos/test_small.mp4,27,509597,22630
bin/omp,videos/test_small.mp4,28,518144,8006
bin/omp,videos/test_small.mp4,29,514219,10746
bin/omp,videos/test_small.mp4,30,528363,23752
bin/omp,videos/test_small.mp4,31,507283,9978
bin/omp,videos/test_small.mp4,32,539197,45955
bin/omp,videos/test_small.mp4,33,525479,20245
bin/omp,videos/test_small.mp4,34,509191,15156
bin/omp,videos/test_small.mp4,35,527232,22376
