name,filename,nworkers,avg,std
bin/threads,videos/test_big.mp4,1,67847501,1032977
bin/threads,videos/test_big.mp4,2,67827235,761340
bin/threads,videos/test_big.mp4,3,34480856,241571
bin/threads,videos/test_big.mp4,4,24047168,244737
bin/threads,videos/test_big.mp4,5,19167915,927375
bin/threads,videos/test_big.mp4,6,15942077,703620
bin/threads,videos/test_big.mp4,7,14173622,1230368
bin/threads,videos/test_big.mp4,8,11562638,382132
bin/threads,videos/test_big.mp4,9,10931802,292413
bin/threads,videos/test_big.mp4,10,9972485,112297
bin/threads,videos/test_big.mp4,11,9346152,200090
bin/threads,videos/test_big.mp4,12,8544736,344024
bin/threads,videos/test_big.mp4,13,7703827,236896
bin/threads,videos/test_big.mp4,14,7513740,327964
bin/threads,videos/test_big.mp4,15,7096362,169783
bin/threads,videos/test_big.mp4,16,6999534,72447
bin/threads,videos/test_big.mp4,17,6823509,88877
bin/threads,videos/test_big.mp4,18,6974896,126766
bin/threads,videos/test_big.mp4,19,7002753,46478
bin/threads,videos/test_big.mp4,20,6969937,101787
bin/threads,videos/test_big.mp4,21,6978083,27514
bin/threads,videos/test_big.mp4,22,6983455,78643
bin/threads,videos/test_big.mp4,23,6963106,78011
bin/threads,videos/test_big.mp4,24,7075750,65763
bin/threads,videos/test_big.mp4,25,6963401,76363
bin/threads,videos/test_big.mp4,26,7029990,126518
bin/threads,videos/test_big.mp4,27,7176468,63995
bin/threads,videos/test_big.mp4,28,7408678,124683
bin/threads,videos/test_big.mp4,29,7684231,98021
bin/threads,videos/test_big.mp4,30,7804228,75706
bin/threads,videos/test_big.mp4,31,8105455,164546
bin/threads,videos/test_big.mp4,32,7243901,354856
bin/threads,videos/test_big.mp4,33,6967664,122691
bin/threads,videos/test_big.mp4,34,7499844,200534
bin/threads,videos/test_big.mp4,35,7150941,202707
bin/threads,videos/test_mid.mp4,1,10307633,213509
bin/threads,videos/test_mid.mp4,2,10979591,1002073
bin/threads,videos/test_mid.mp4,3,5537236,177401
bin/threads,videos/test_mid.mp4,4,3932853,435341
bin/threads,videos/test_mid.mp4,5,3029783,246968
bin/threads,videos/test_mid.mp4,6,2603938,124460
bin/threads,videos/test_mid.mp4,7,2260116,167492
bin/threads,videos/test_mid.mp4,8,1992710,29900
bin/threads,videos/test_mid.mp4,9,1805038,41491
bin/threads,videos/test_mid.mp4,10,1690514,66957
bin/threads,videos/test_mid.mp4,11,1538787,15545
bin/threads,videos/test_mid.mp4,12,1467031,47466
bin/threads,videos/test_mid.mp4,13,1345676,24910
bin/threads,videos/test_mid.mp4,14,1293052,15560
bin/threads,videos/test_mid.mp4,15,1272776,23455
bin/threads,videos/test_mid.mp4,16,1262751,50028
bin/threads,videos/test_mid.mp4,17,1277054,10359
bin/threads,videos/test_mid.mp4,18,1255532,36992
bin/threads,videos/test_mid.mp4,19,1289486,27057
bin/threads,videos/test_mid.mp4,20,1273107,22575
bin/threads,videos/test_mid.mp4,21,1271772,30452
bin/threads,videos/test_mid.mp4,22,1287492,29921
bin/threads,videos/test_mid.mp4,23,1278688,66637
bin/threads,videos/test_mid.mp4,24,1288129,21156
bin/threads,videos/test_mid.mp4,25,1318177,38759
bin/threads,videos/test_mid.mp4,26,1491972,46341
bin/threads,videos/test_mid.mp4,27,1508271,14485
bin/threads,videos/test_mid.mp4,28,1412113,67159
bin/threads,videos/test_mid.mp4,29,1494674,45019
bin/threads,videos/test_mid.mp4,30,1503025,61596
bin/threads,videos/test_mid.mp4,31,1755310,65861
bin/threads,videos/test_mid.mp4,32,1531036,30883
bin/threads,videos/test_mid.mp4,33,1484703,50456
bin/threads,videos/test_mid.mp4,34,1393252,17912
bin/threads,videos/test_mid.mp4,35,1373709,26621
bin/threads,videos/test_small.mp4,1,2342080,34379
bin/threads,videos/test_small.mp4,2,2353903,25004
bin/threads,videos/test_small.mp4,3,1260281,29049
bin/threads,videos/test_small.mp4,4,849837,6534
bin/threads,videos/test_small.mp4,5,776163,38515
bin/threads,videos/test_small.mp4,6,622652,18897
bin/threads,videos/test_small.mp4,7,551469,27366
bin/threads,videos/test_small.mp4,8,484182,16294
bin/threads,videos/test_small.mp4,9,424535,6725
bin/threads,videos/test_small.mp4,10,384390,20404
bin/threads,videos/test_small.mp4,11,367047,6922
bin/threads,videos/test_small.mp4,12,366676,11215
bin/threads,videos/test_small.mp4,13,362627,13899
bin/threads,videos/test_small.mp4,14,352381,3981
bin/threads,videos/test_small.mp4,15,360987,9405
bin/threads,videos/test_small.mp4,16,341580,6122
bin/threads,videos/test_small.mp4,17,366531,19197
bin/threads,videos/test_small.mp4,18,364344,8581
bin/threads,videos/test_small.mp4,19,351707,11186
bin/threads,videos/test_small.mp4,20,368875,5930
bin/threads,videos/test_small.mp4,21,368818,8897
bin/threads,videos/test_small.mp4,22,359795,11762
bin/threads,videos/test_small.mp4,23,356563,7290
bin/threads,videos/test_small.mp4,24,379326,5977
bin/threads,videos/test_small.mp4,25,372140,11727
bin/threads,videos/test_small.mp4,26,383946,18969
bin/threads,videos/test_small.mp4,27,376706,3588
bin/threads,videos/test_small.mp4,28,370917,5996
bin/threads,videos/test_small.mp4,29,370887,2155
bin/threads,videos/test_small.mp4,30,397098,5781
bin/threads,videos/test_small.mp4,31,385298,10475
bin/threads,videos/test_small.mp4,32,376310,12576
bin/threads,videos/test_small.mp4,33,395225,15209
bin/threads,videos/test_small.mp4,34,388617,5846
bin/threads,videos/test_small.mp4,35,385260,16125
