name,filename,nworkers,avg,std
bin/threads,videos/test_big.mp4,1,73272218,2294335
bin/threads,videos/test_big.mp4,2,74183778,1701406
bin/threads,videos/test_big.mp4,3,36784581,492684
bin/threads,videos/test_big.mp4,4,25848601,535510
bin/threads,videos/test_big.mp4,5,20229608,784605
bin/threads,videos/test_big.mp4,6,17377277,382055
bin/threads,videos/test_big.mp4,7,14151311,767909
bin/threads,videos/test_big.mp4,8,12899927,257921
bin/threads,videos/test_big.mp4,9,11195000,278541
bin/threads,videos/test_big.mp4,10,10267931,126816
bin/threads,videos/test_big.mp4,11,9899308,142352
bin/threads,videos/test_big.mp4,12,8558078,461468
bin/threads,videos/test_big.mp4,13,8123651,140505
bin/threads,videos/test_big.mp4,14,7913882,195250
bin/threads,videos/test_big.mp4,15,7523397,221195
bin/threads,videos/test_big.mp4,16,7661692,175174
bin/threads,videos/test_big.mp4,17,7460977,148515
bin/threads,videos/test_big.mp4,18,7670330,163398
bin/threads,videos/test_big.mp4,19,7501256,171678
bin/threads,videos/test_big.mp4,20,7676989,104347
bin/threads,videos/test_big.mp4,21,7487386,59212
bin/threads,videos/test_big.mp4,22,7534122,46477
bin/threads,videos/test_big.mp4,23,7680930,99042
bin/threads,videos/test_big.mp4,24,7658992,134468
bin/threads,videos/test_big.mp4,25,7610619,48414
bin/threads,videos/test_big.mp4,26,7645669,78044
bin/threads,videos/test_big.mp4,27,7668346,252275
bin/threads,videos/test_big.mp4,28,8104124,274898
bin/threads,videos/test_big.mp4,29,9419326,463851
bin/threads,videos/test_big.mp4,30,8212812,202112
bin/threads,videos/test_big.mp4,31,9114604,291145
bin/threads,videos/test_big.mp4,32,9026568,417250
bin/threads,videos/test_big.mp4,33,8588426,404841
bin/threads,videos/test_big.mp4,34,8119934,62974
bin/threads,videos/test_big.mp4,35,8506057,392397
bin/threads,videos/test_mid.mp4,1,11346134,222494
bin/threads,videos/test_mid.mp4,2,10933726,384976
bin/threads,videos/test_mid.mp4,3,6048502,346403
bin/threads,videos/test_mid.mp4,4,4276061,338324
bin/threads,videos/test_mid.mp4,5,3191434,264379
bin/threads,videos/test_mid.mp4,6,2512957,124714
bin/threads,videos/test_mid.mp4,7,2300206,172424
bin/threads,videos/test_mid.mp4,8,1967767,82617
bin/threads,videos/test_mid.mp4,9,1843073,49201
bin/threads,videos/test_mid.mp4,10,1641455,50134
bin/threads,videos/test_mid.mp4,11,1596567,18219
bin/threads,videos/test_mid.mp4,12,1465995,20667
bin/threads,videos/test_mid.mp4,13,1438133,59414
bin/threads,videos/test_mid.mp4,14,1462951,53264
bin/threads,videos/test_mid.mp4,15,1483794,13480
bin/threads,videos/test_mid.mp4,16,1487561,58368
bin/threads,videos/test_mid.mp4,17,1522408,23816
bin/threads,videos/test_mid.mp4,18,1510088,17774
bin/threads,videos/test_mid.mp4,19,1484269,21452
bin/threads,videos/test_mid.mp4,20,1513563,30865
bin/threads,videos/test_mid.mp4,21,1506518,42946
bin/threads,videos/test_mid.mp4,22,1483931,28866
bin/threads,videos/test_mid.mp4,23,1519229,63405
bin/threads,videos/test_mid.mp4,24,1450046,52522
bin/threads,videos/test_mid.mp4,25,1469521,43464
bin/threads,videos/test_mid.mp4,26,1537610,59033
bin/threads,videos/test_mid.mp4,27,1590679,51161
bin/threads,videos/test_mid.mp4,28,1579667,50504
bin/threads,videos/test_mid.mp4,29,1593392,42121
bin/threads,videos/test_mid.mp4,30,1589922,75917
bin/threads,videos/test_mid.mp4,31,1566835,37692
bin/threads,videos/test_mid.mp4,32,1555361,15557
bin/threads,videos/test_mid.mp4,33,1590598,15733
bin/threads,videos/test_mid.mp4,34,1566477,59401
bin/threads,videos/test_mid.mp4,35,1518751,25672
bin/threads,videos/test_small.mp4,1,2508841,17580
bin/threads,videos/test_small.mp4,2,2500959,31385
bin/threads,videos/test_small.mp4,3,1327119,23787
bin/threads,videos/test_small.mp4,4,913410,25571
bin/threads,videos/test_small.mp4,5,721947,13709
bin/threads,videos/test_small.mp4,6,630503,13625
bin/threads,videos/test_small.mp4,7,589837,37963
bin/threads,videos/test_small.mp4,8,489463,19391
bin/threads,videos/test_small.mp4,9,450344,14317
bin/threads,videos/test_small.mp4,10,444133,9106
bin/threads,videos/test_small.mp4,11,421198,10593
bin/threads,videos/test_small.mp4,12,423360,30797
bin/threads,videos/test_small.mp4,13,460631,47498
bin/threads,videos/test_small.mp4,14,458000,15494
bin/threads,videos/test_small.mp4,15,459213,17799
bin/threads,videos/test_small.mp4,16,449498,11212
bin/threads,videos/test_small.mp4,17,472828,10232
bin/threads,videos/test_small.mp4,18,466186,13889
bin/threads,videos/test_small.mp4,19,467508,15672
bin/threads,videos/test_small.mp4,20,469048,16591
bin/threads,videos/test_small.mp4,21,447118,14182
bin/threads,videos/test_small.mp4,22,477387,2857
bin/threads,videos/test_small.mp4,23,476293,13205
bin/threads,videos/test_small.mp4,24,456534,7614
bin/threads,videos/test_small.mp4,25,443992,18450
bin/threads,videos/test_small.mp4,26,451519,6149
bin/threads,videos/test_small.mp4,27,458455,7215
bin/threads,videos/test_small.mp4,28,463819,17136
bin/threads,videos/test_small.mp4,29,482099,21489
bin/threads,videos/test_small.mp4,30,469077,10518
bin/threads,videos/test_small.mp4,31,476378,20704
bin/threads,videos/test_small.mp4,32,480636,13093
bin/threads,videos/test_small.mp4,33,467520,8619
bin/threads,videos/test_small.mp4,34,474243,24191
bin/threads,videos/test_small.mp4,35,476822,32374
