name,filename,nworkers,avg,var
bin/threads_affinity,videos/test_big.mp4,1,57166030,174176
bin/threads_affinity,videos/test_big.mp4,2,57576425,410537
bin/threads_affinity,videos/test_big.mp4,3,49321100,224885
bin/threads_affinity,videos/test_big.mp4,4,26959370,169830
bin/threads_affinity,videos/test_big.mp4,5,25391599,377047
bin/threads_affinity,videos/test_big.mp4,6,17997601,158549
bin/threads_affinity,videos/test_big.mp4,7,17157329,130067
bin/threads_affinity,videos/test_big.mp4,8,13441965,86260
bin/threads_affinity,videos/test_big.mp4,9,12973422,173100
bin/threads_affinity,videos/test_big.mp4,10,10797434,38207
bin/threads_affinity,videos/test_big.mp4,11,10597063,43900
bin/threads_affinity,videos/test_big.mp4,12,9134509,154249
bin/threads_affinity,videos/test_big.mp4,13,8934890,101132
bin/threads_affinity,videos/test_big.mp4,14,7900983,86132
bin/threads_affinity,videos/test_big.mp4,15,7834078,57943
bin/threads_affinity,videos/test_big.mp4,16,7044354,53194
bin/threads_affinity,videos/test_big.mp4,17,6892555,35708
bin/threads_affinity,videos/test_big.mp4,18,6640508,162042
bin/threads_affinity,videos/test_big.mp4,19,6695726,55927
bin/threads_affinity,videos/test_big.mp4,20,6657793,258772
bin/threads_affinity,videos/test_big.mp4,21,6688458,255677
bin/threads_affinity,videos/test_big.mp4,22,6662649,236672
bin/threads_affinity,videos/test_big.mp4,23,7069761,111182
bin/threads_affinity,videos/test_big.mp4,24,6965390,66429
bin/threads_affinity,videos/test_big.mp4,25,6703727,151727
bin/threads_affinity,videos/test_big.mp4,26,6827841,54063
bin/threads_affinity,videos/test_big.mp4,27,6770851,157781
bin/threads_affinity,videos/test_big.mp4,28,6958119,56653
bin/threads_affinity,videos/test_big.mp4,29,6904125,56901
bin/threads_affinity,videos/test_big.mp4,30,6947151,83308
bin/threads_affinity,videos/test_big.mp4,31,6548466,232859
bin/threads_affinity,videos/test_big.mp4,32,6928560,28485
bin/threads_affinity,videos/test_big.mp4,33,6975855,56016
bin/threads_affinity,videos/test_big.mp4,34,6988334,22116
bin/threads_affinity,videos/test_big.mp4,35,6975112,46090
