name,filename,nworkers,avg,std
bin/threads_pinned,videos/test_big.mp4,1,67194683,208330
bin/threads_pinned,videos/test_big.mp4,2,67521655,929812
bin/threads_pinned,videos/test_big.mp4,3,60155029,2997741
bin/threads_pinned,videos/test_big.mp4,4,34063092,1840153
bin/threads_pinned,videos/test_big.mp4,5,30489895,802100
bin/threads_pinned,videos/test_big.mp4,6,22040911,349829
bin/threads_pinned,videos/test_big.mp4,7,20005780,314513
bin/threads_pinned,videos/test_big.mp4,8,15935181,250085
bin/threads_pinned,videos/test_big.mp4,9,16345012,215806
bin/threads_pinned,videos/test_big.mp4,10,13748378,206697
bin/threads_pinned,videos/test_big.mp4,11,13051656,147099
bin/threads_pinned,videos/test_big.mp4,12,11044754,192293
bin/threads_pinned,videos/test_big.mp4,13,10830852,69392
bin/threads_pinned,videos/test_big.mp4,14,9346384,112300
bin/threads_pinned,videos/test_big.mp4,15,9138374,101275
bin/threads_pinned,videos/test_big.mp4,16,8275783,163182
bin/threads_pinned,videos/test_big.mp4,17,8028684,120580
bin/threads_pinned,videos/test_big.mp4,18,7282770,61657
bin/threads_pinned,videos/test_big.mp4,19,7055039,174283
bin/threads_pinned,videos/test_big.mp4,20,6956262,48010
bin/threads_pinned,videos/test_big.mp4,21,6734669,253665
bin/threads_pinned,videos/test_big.mp4,22,6890641,254122
bin/threads_pinned,videos/test_big.mp4,23,6878501,169184
bin/threads_pinned,videos/test_big.mp4,24,6934198,253156
bin/threads_pinned,videos/test_big.mp4,25,6924859,55982
bin/threads_pinned,videos/test_big.mp4,26,6807351,209135
bin/threads_pinned,videos/test_big.mp4,27,7134562,71889
bin/threads_pinned,videos/test_big.mp4,28,7094642,55248
bin/threads_pinned,videos/test_big.mp4,29,7051703,70526
bin/threads_pinned,videos/test_big.mp4,30,7088347,38379
bin/threads_pinned,videos/test_big.mp4,31,7078086,32719
bin/threads_pinned,videos/test_big.mp4,32,7244523,75996
bin/threads_pinned,videos/test_big.mp4,33,7288330,55624
bin/threads_pinned,videos/test_big.mp4,34,7121433,31800
bin/threads_pinned,videos/test_big.mp4,35,7148812,73395
bin/threads_pinned,videos/test_mid.mp4,1,9857424,30433
bin/threads_pinned,videos/test_mid.mp4,2,9847280,17325
bin/threads_pinned,videos/test_mid.mp4,3,9032632,246420
bin/threads_pinned,videos/test_mid.mp4,4,4831498,43521
bin/threads_pinned,videos/test_mid.mp4,5,4647362,94014
bin/threads_pinned,videos/test_mid.mp4,6,3248714,43711
bin/threads_pinned,videos/test_mid.mp4,7,3155455,11126
bin/threads_pinned,videos/test_mid.mp4,8,2476746,15029
bin/threads_pinned,videos/test_mid.mp4,9,2382670,12283
bin/threads_pinned,videos/test_mid.mp4,10,1981166,8566
bin/threads_pinned,videos/test_mid.mp4,11,1960574,19543
bin/threads_pinned,videos/test_mid.mp4,12,1706350,7962
bin/threads_pinned,videos/test_mid.mp4,13,1673597,16050
bin/threads_pinned,videos/test_mid.mp4,14,1499312,13436
bin/threads_pinned,videos/test_mid.mp4,15,1472138,15981
bin/threads_pinned,videos/test_mid.mp4,16,1345008,30864
bin/threads_pinned,videos/test_mid.mp4,17,1335298,6403
bin/threads_pinned,videos/test_mid.mp4,18,1214330,6939
bin/threads_pinned,videos/test_mid.mp4,19,1214313,19807
bin/threads_pinned,videos/test_mid.mp4,20,1136039,3610
bin/threads_pinned,videos/test_mid.mp4,21,1158138,3791
bin/threads_pinned,videos/test_mid.mp4,22,1152553,15507
bin/threads_pinned,videos/test_mid.mp4,23,1155945,15405
bin/threads_pinned,videos/test_mid.mp4,24,1183091,45137
bin/threads_pinned,videos/test_mid.mp4,25,1269753,20152
bin/threads_pinned,videos/test_mid.mp4,26,1330865,26623
bin/threads_pinned,videos/test_mid.mp4,27,1318252,35119
bin/threads_pinned,videos/test_mid.mp4,28,1299783,10441
bin/threads_pinned,videos/test_mid.mp4,29,1321850,17864
bin/threads_pinned,videos/test_mid.mp4,30,1290873,37154
bin/threads_pinned,videos/test_mid.mp4,31,1296902,72748
bin/threads_pinned,videos/test_mid.mp4,32,1324322,20247
bin/threads_pinned,videos/test_mid.mp4,33,1315902,22332
bin/threads_pinned,videos/test_mid.mp4,34,1312538,2517
bin/threads_pinned,videos/test_mid.mp4,35,1333372,4533
bin/threads_pinned,videos/test_small.mp4,1,2323007,3993
bin/threads_pinned,videos/test_small.mp4,2,2317869,3601
bin/threads_pinned,videos/test_small.mp4,3,2159603,34410
bin/threads_pinned,videos/test_small.mp4,4,1151273,7238
bin/threads_pinned,videos/test_small.mp4,5,1116936,10016
bin/threads_pinned,videos/test_small.mp4,6,796872,8195
bin/threads_pinned,videos/test_small.mp4,7,784872,7808
bin/threads_pinned,videos/test_small.mp4,8,620952,4110
bin/threads_pinned,videos/test_small.mp4,9,605761,4479
bin/threads_pinned,videos/test_small.mp4,10,512521,2442
bin/threads_pinned,videos/test_small.mp4,11,504847,7589
bin/threads_pinned,videos/test_small.mp4,12,458682,6278
